id,para_a,para_b,para_c,para_d,para_e,sentence,sentence2
15,83,40,70,67,84,Mazeのカード(正位置),まみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめも
16,20,36,55,84,95,Fireyのカード(正位置),らりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろ
17,99,28,76,90,65,Lightのカード(正位置),らりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろ
18,1,99,84,14,67,Darkのカード(正位置),あいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえお
19,89,51,88,74,80,Earthyのカード(正位置),かきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこ
20,90,90,90,90,90,Nothingのカード(正位置),あいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえお
21,90,90,90,90,90,Dreamのカード(正位置),かきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこ
100,100,100,100,100,100,Sakuraのカード(逆位置),さしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそ
101,73,100,10,56,77,Windyのカード(逆位置),たちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてと
102,84,90,87,77,64,Flyのカード(逆位置),なにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねの
103,55,30,50,100,16,Shadowのカード(逆位置),はひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほ
104,66,40,50,0,15,Wateryのカード(逆位置),まみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめも
105,70,55,58,44,50,Woodのカード(逆位置),らりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろ
106,55,58,67,55,50,Jumpのカード(逆位置),らりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろ
107,76,67,84,66,58,Illusionのカード(逆位置),あいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえお
108,84,84,90,70,67,Thunderのカード(逆位置),かきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこ
109,34,90,35,55,44,swordのカード(逆位置),さしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそ
110,28,35,71,76,55,Flowerのカード(逆位置),たちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてと
111,80,71,84,84,66,Shieldのカード(逆位置),なにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねのなにぬねの
112,75,84,44,40,70,Fraseのカード(逆位置),はひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほはひふへほ
113,73,85,55,55,55,Glowのカード(逆位置),まみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめもまみむめも
114,57,93,66,58,76,Mirrorのカード(逆位置),らりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろ
115,83,40,70,67,84,Mazeのカード(逆位置),らりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろらりるれろ
116,20,36,55,84,95,Fireyのカード(逆位置),あいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえお
117,99,28,76,90,65,Lightのカード(逆位置),かきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこ
118,1,99,84,14,67,Darkのカード(逆位置),さしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそさしすせそ
119,89,51,88,74,80,Earthyのカード(逆位置),たちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてとたちつてと
120,90,90,90,90,90,Nothingのカード(逆位置),あいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえお
121,90,90,90,90,90,Dreamのカード(逆位置),かきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこかきくけこ
